2;94;S;Verenigingen;Activit�s des organisations associatives;Interessenvertretungen sowie kirchliche und sonstige religi�se Vereinigungen (ohne Sozialwesen und Sport);Activities of membership organisations
2;95;S;Reparatie van computers en consumentenartikelen;R�paration d'ordinateurs et de biens personnels et domestiques;Reparatur von Datenverarbeitungsger�ten und Gebrauchsg�tern;Repair of computers and personal and household goods
2;96;S;Overige persoonlijke diensten;Autres services personnels;Erbringung von sonstigen �berwiegend pers�nlichen Dienstleistungen;Other personal service activities
2;97;T;Huishoudens als werkgever van huishoudelijk personeel;Activit�s des m�nages en tant qu'employeurs de personnel domestique;Private Haushalte mit Hauspersonal;Activities of households as employers of domestic personnel
2;98;T;Niet-gedifferentieerde productie van goederen en diensten door particuliere huishoudens voor eigen gebruik;Activit�s indiff�renci�es des m�nages en tant que producteurs de biens et services pour usage propre;Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte f�r den Eigenbedarf ohne ausgepr�gten Schwerpunkt;Undifferentiated goods- and services-producing activities of private households for own use
2;99;U;Extraterritoriale organisaties en lichamen;Activit�s des organisations et organismes extraterritoriaux;Exterritoriale Organisationen und K�rperschaften;Activities of extraterritorial organisations and bodies
3;;;Groepen;Groupes;Gruppen;Groups
3;11;1;Teelt van eenjarige gewassen;Cultures non permanentes;Anbau einj�hriger Pflanzen;Growing of non-perennial crops
3;12;1;Teelt van meerjarige gewassen;Cultures permanentes;Anbau mehrj�hriger Pflanzen;Growing of perennial crops
3;13;1;Plantenvermeerdering;Reproduction de plantes;Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken;Plant propagation
3;14;1;Veeteelt;Production animale;Tierhaltung;Animal production
3;15;1;Gemengd bedrijf;Culture et �levage associ�s;Gemischte Landwirtschaft;Mixed farming
3;16;1;"Ondersteunende activiteiten in verband met de landbouw; activiteiten met betrekking tot gewassen na de oogst";Activit�s de soutien � l'agriculture et traitement primaire des r�coltes;Erbringung von landwirtschaftlichen Dienstleistungen;Support activities to agriculture and post-harvest crop activities
3;17;1;Jacht, zetten van vallen en diensten in verband met deze activiteiten;Chasse, pi�geage et services annexes;Jagd, Fallenstellerei und damit verbundene T�tigkeiten;Hunting, trapping and related service activities
3;21;2;Bosbouw;Sylviculture et autres activit�s foresti�res;Forstwirtschaft;Silviculture and other forestry activities
3;22;2;Exploitatie van bossen;Exploitation foresti�re;Holzeinschlag;Logging
3;23;2;Verzamelen van in het wild groeiende producten met uitzondering van hout;R�colte de produits forestiers non ligneux poussant � l'�tat sauvage;Sammeln von wildwachsenden Produkten (ohne Holz);Gathering of wild growing non-wood products
3;24;2;Ondersteunende diensten in verband met de bosbouw;Services de soutien � l'exploitation foresti�re;Erbringung von Dienstleistungen f�r Forstwirtschaft und Holzeinschlag;Support services to forestry
3;31;3;Visserij;P�che;Fischerei;Fishing
3;32;3;Aquacultuur;Aquaculture;Aquakultur;Aquaculture
3;51;5;Winning van steenkool;Extraction de houille;Steinkohlenbergbau;Mining of hard coal
3;52;5;Winning van bruinkool;Extraction de lignite;Braunkohlenbergbau;Mining of lignite
3;61;6;Winning van aardolie;Extraction de p�trole brut;Gewinnung von Erd�l;Extraction of crude petroleum
3;62;6;Winning van aardgas;Extraction de gaz naturel;Gewinnung von Erdgas;Extraction of natural gas
3;71;7;Winning van ijzererts;Extraction de minerais de fer;Eisenerzbergbau;Mining of iron ores
3;72;7;Winning van non-ferrometaalertsen;Extraction de minerais de m�taux non ferreux;NE-Metallerzbergbau;Mining of non-ferrous metal ores
3;81;8;Winning van steen, zand en klei;Extraction de pierres, de sables et d'argiles;Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin;Quarrying of stone, sand and clay
3;89;8;Winning van delfstoffen, n.e.g.;Activit�s extractives n.c.a.;Sonstiger Bergbau a. n. g.;Mining and quarrying n.e.c.
3;91;9;Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning;Activit�s de soutien � l'extraction d'hydrocarbures;Erbringung von Dienstleistungen f�r die Gewinnung von Erd�l und Erdgas;Support activities for petroleum and natural gas extraction
